Date,Open,High,Low,Close,Volume
8/12/58,47.73,47.73,47.73,47.73,1444444
8/13/58,47.81,47.81,47.81,47.81,1550000
8/14/58,47.91,47.91,47.91,47.91,1872222
8/15/58,47.5,47.5,47.5,47.5,1644444
8/18/58,47.22,47.22,47.22,47.22,1327778
8/19/58,47.3,47.3,47.3,47.3,1250000
8/20/58,47.32,47.32,47.32,47.32,1366667
8/21/58,47.63,47.63,47.63,47.63,1388889
8/22/58,47.73,47.73,47.73,47.73,1477778
8/25/58,47.74,47.74,47.74,47.74,1450000
8/26/58,47.9,47.9,47.9,47.9,1616667
8/27/58,47.91,47.91,47.91,47.91,1805556
8/28/58,47.66,47.66,47.66,47.66,1411111
8/29/58,47.75,47.75,47.75,47.75,1255556
9/2/58,48,48,48,48,1627778
9/3/58,48.18,48.18,48.18,48.18,1800000
9/4/58,48.1,48.1,48.1,48.1,1722222
9/5/58,47.97,47.97,47.97,47.97,1400000
9/8/58,48.13,48.13,48.13,48.13,1683333
9/9/58,48.46,48.46,48.46,48.46,1933333
9/10/58,48.31,48.31,48.31,48.31,1566667
9/11/58,48.64,48.64,48.64,48.64,1833333
9/12/58,48.53,48.53,48.53,48.53,1722222
9/15/58,48.96,48.96,48.96,48.96,1688889
9/16/58,49.35,49.35,49.35,49.35,2188889
9/17/58,49.35,49.35,49.35,49.35,2105556
9/18/58,49.38,49.38,49.38,49.38,1922222
9/19/58,49.4,49.4,49.4,49.4,2155556
9/22/58,49.2,49.2,49.2,49.2,1938889
9/23/58,49.56,49.56,49.56,49.56,2194444
9/24/58,49.78,49.78,49.78,49.78,1733333
9/25/58,49.57,49.57,49.57,49.57,2494444
9/26/58,49.66,49.66,49.66,49.66,1900000
9/29/58,49.87,49.87,49.87,49.87,2044444
9/30/58,50.06,50.06,50.06,50.06,2311111
10/1/58,49.98,49.98,49.98,49.98,2100000
10/2/58,50.17,50.17,50.17,50.17,2083333
10/3/58,50.37,50.37,50.37,50.37,2127778
10/6/58,51.07,51.07,51.07,51.07,1983333
10/7/58,51.07,51.07,51.07,51.07,1983333
10/8/58,51.06,51.06,51.06,51.06,2044444
10/9/58,51.05,51.05,51.05,51.05,2038889
10/10/58,51.39,51.39,51.39,51.39,2561111
10/13/58,51.62,51.62,51.62,51.62,2527778
10/14/58,51.26,51.26,51.26,51.26,2838889
10/15/58,50.58,50.58,50.58,50.58,2672222
10/16/58,50.94,50.94,50.94,50.94,2533333
10/17/58,51.46,51.46,51.46,51.46,2977778
10/20/58,51.27,51.27,51.27,51.27,2533333
10/21/58,51.27,51.27,51.27,51.27,2227778
10/22/58,51.07,51.07,51.07,51.07,1944444
10/23/58,50.97,50.97,50.97,50.97,2005556
10/24/58,50.81,50.81,50.81,50.81,2094444
10/27/58,50.42,50.42,50.42,50.42,2211111
10/28/58,50.58,50.58,50.58,50.58,2038889
10/29/58,51.07,51.07,51.07,51.07,2661111
10/30/58,51.27,51.27,51.27,51.27,2422222
10/31/58,51.33,51.33,51.33,51.33,2177778
11/3/58,51.56,51.56,51.56,51.56,1800000
11/5/58,52.03,52.03,52.03,52.03,2266667
11/6/58,52.45,52.45,52.45,52.45,2716667
11/7/58,52.26,52.26,52.26,52.26,2055556
11/10/58,52.57,52.57,52.57,52.57,2072222
11/11/58,52.98,52.98,52.98,52.98,2244444
11/12/58,53.05,53.05,53.05,53.05,2466667
11/13/58,52.83,52.83,52.83,52.83,2333333
